,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
316,BYU,2024-09-06,2026-03-30,570,Friday,191680,USD,44884,499997,155920,0.08976853861123167,3.4738436859459942,0.3118418710512263,40-65,F,ilong,johnsonclaudia@example.net,Kimberly Lloyd,F,42
317,KTR,2023-11-23,2025-06-25,580,Thursday,586462,USD,21927,500001,81706,0.04385391229217542,3.7262735440324715,0.16341167317665364,45-50,A,reedjoseph,robert24@example.com,Miss Lisa Murphy,F,31
318,AKX,2024-10-14,2026-03-25,527,Monday,909376,USD,30771,499999,703772,0.06154212308424617,22.871274901693152,1.40754681509363,40-45,F,reedjoseph,robert24@example.com,Miss Lisa Murphy,F,31
319,BYU,2025-06-08,2026-06-14,371,Sunday,521157,GBP,64434,499996,115045,0.1288690309522476,1.785470403824068,0.23009184073472588,30-35,M,reedjoseph,robert24@example.com,Miss Lisa Murphy,F,31
320,AKX,2024-11-06,2025-06-23,229,Wednesday,246759,GBP,46427,500000,48021,0.092854,1.034333469748207,0.096042,40-55,A,reedjoseph,robert24@example.com,Miss Lisa Murphy,F,31
321,GRZ,2025-04-15,2027-02-07,663,Tuesday,971546,GBP,28070,499999,190785,0.05614011228022456,6.796758104738155,0.38157076314152627,20-40,F,reedjoseph,robert24@example.com,Miss Lisa Murphy,F,31
322,AKX,2024-03-14,2025-10-25,590,Thursday,964595,USD,10677,499999,484826,0.021354042708085417,45.40844806593613,0.9696539393078786,45-50,F,reedjoseph,robert24@example.com,Miss Lisa Murphy,F,31
323,BYU,2024-03-18,2025-07-27,496,Monday,122601,GBP,34032,499998,20291,0.06806427225708903,0.5962329572167372,0.040582162328649314,20-35,F,matthewyang,jesuschandler@example.org,Joanna Wallace,F,82
324,AKX,2024-01-24,2025-05-18,480,Wednesday,426903,GBP,76647,499999,176253,0.15329430658861318,2.2995420564405653,0.35250670501341,40-45,F,matthewyang,jesuschandler@example.org,Joanna Wallace,F,82
325,GRZ,2024-11-19,2025-10-23,338,Tuesday,873350,USD,38615,499999,87740,0.07723015446030893,2.2721740256377054,0.17548035096070191,45-70,M,matthewyang,jesuschandler@example.org,Joanna Wallace,F,82
326,BYU,2024-02-23,2024-03-17,23,Friday,798882,EUR,55168,500002,420407,0.11033555865776537,7.620486513921113,0.8408106367574529,20-45,A,matthewyang,jesuschandler@example.org,Joanna Wallace,F,82
327,GRZ,2023-09-08,2025-08-09,701,Friday,808076,USD,47519,499999,259218,0.09503819007638015,5.455039037016772,0.5184370368740737,45-65,A,matthewyang,jesuschandler@example.org,Joanna Wallace,F,82
328,AKX,2025-05-31,2027-04-03,672,Saturday,783029,GBP,16321,500000,704510,0.032642,43.165859935053,1.40902,20-40,A,matthewyang,jesuschandler@example.org,Joanna Wallace,F,82
329,KTR,2023-12-31,2024-03-28,88,Sunday,891327,EUR,36084,500001,824432,0.07216785566428867,22.847577873849907,1.6488607022785955,45-60,A,matthewyang,jesuschandler@example.org,Joanna Wallace,F,82
330,BYU,2024-01-17,2024-02-25,39,Wednesday,879777,EUR,67676,500000,194514,0.135352,2.874194692357704,0.389028,20-25,A,matthewyang,jesuschandler@example.org,Joanna Wallace,F,82
331,GRZ,2024-08-29,2026-04-27,606,Thursday,626396,GBP,16661,499999,445956,0.033322066644133286,26.766460596602844,0.8919137838275677,35-55,M,emilydickerson,taylorlarry@example.net,Donna Nelson MD,F,70
332,AKX,2023-12-31,2024-11-10,315,Sunday,243121,USD,35526,500001,124644,0.07105185789628421,3.5085289647019087,0.24928750142499714,40-60,M,emilydickerson,taylorlarry@example.net,Donna Nelson MD,F,70
333,BYU,2024-10-31,2025-10-29,363,Thursday,382809,GBP,15894,500003,294120,0.03178780927314436,18.505096262740658,0.5882364705811766,40-50,F,wilsontracy,hernandezmary@example.net,David Brown,M,73
334,GRZ,2024-12-27,2025-12-28,366,Friday,632290,GBP,68336,500000,126543,0.136672,1.8517765160383985,0.253086,40-65,F,wilsontracy,hernandezmary@example.net,David Brown,M,73
335,KTR,2024-09-29,2026-03-04,521,Sunday,734332,GBP,39868,500001,246491,0.07973584052831895,6.182677836861643,0.4929810140379719,45-55,A,wilsontracy,hernandezmary@example.net,David Brown,M,73
336,AKX,2025-01-18,2026-06-30,528,Saturday,766134,USD,44926,499997,548129,0.08985253911523469,12.200707830654855,1.0962645775874655,40-65,M,wilsontracy,hernandezmary@example.net,David Brown,M,73
337,BYU,2023-12-24,2025-12-11,718,Sunday,368231,EUR,19185,500000,260031,0.03837,13.553870211102424,0.520062,45-55,F,wilsontracy,hernandezmary@example.net,David Brown,M,73
338,GRZ,2024-03-04,2025-12-26,662,Monday,724720,USD,28652,500000,383522,0.057304,13.38552282563172,0.767044,40-65,A,kjenkins,lchavez@example.net,Bradley Taylor,M,60
339,AKX,2025-03-17,2026-01-20,309,Monday,43235,EUR,17748,500000,35219,0.035496,1.9843926076177598,0.070438,20-40,M,kjenkins,lchavez@example.net,Bradley Taylor,M,60
340,BYU,2024-12-23,2024-12-29,6,Monday,169309,USD,78235,499997,73392,0.15647093882563295,0.9380967597622547,0.14678488070928425,20-25,M,kjenkins,lchavez@example.net,Bradley Taylor,M,60
341,KTR,2025-04-06,2026-01-02,271,Sunday,103415,EUR,8855,500000,63838,0.01771,7.209260304912479,0.127676,40-55,M,kjenkins,lchavez@example.net,Bradley Taylor,M,60
342,AKX,2023-12-08,2025-11-25,718,Friday,163892,USD,16967,500000,129187,0.033934,7.614015441739848,0.258374,20-45,F,kjenkins,lchavez@example.net,Bradley Taylor,M,60
343,BYU,2024-03-14,2024-12-26,287,Thursday,699752,USD,65547,499997,376864,0.13109478656871942,5.7495232428639,0.7537325223951343,40-50,M,zachary20,xsmith@example.com,Reginald Castro,M,85
344,KTR,2023-09-24,2023-10-01,7,Sunday,838140,EUR,26829,499999,179359,0.053658107316214634,6.685265943568527,0.3587187174374349,45-70,M,zachary20,xsmith@example.com,Reginald Castro,M,85
345,GRZ,2024-09-01,2024-10-22,51,Sunday,907174,GBP,21836,499999,842628,0.04367208734417469,38.588935702509616,1.685259370518741,25-35,M,zachary20,xsmith@example.com,Reginald Castro,M,85
346,BYU,2024-01-07,2024-10-18,285,Sunday,560939,GBP,69222,499998,276957,0.1384445537782151,4.000996792927104,0.5539162156648627,40-55,A,zachary20,xsmith@example.com,Reginald Castro,M,85
347,GRZ,2024-12-25,2026-05-19,510,Wednesday,988450,USD,47003,499999,197673,0.09400618801237602,4.2055400719103035,0.39534679069358136,30-50,A,zachary20,xsmith@example.com,Reginald Castro,M,85
348,GRZ,2024-05-25,2026-02-10,626,Saturday,429262,USD,35118,500001,311409,0.07023585952828094,8.86750384418247,0.6228167543664913,20-40,M,coxjonathan,jsmith@example.net,Kevin Terry,M,46
349,GRZ,2024-01-25,2025-05-10,471,Thursday,734638,GBP,39892,499998,202020,0.07978431913727654,5.064173267823122,0.40404161616646467,45-50,F,coxjonathan,jsmith@example.net,Kevin Terry,M,46
350,KTR,2023-12-29,2025-05-11,499,Friday,702080,EUR,48650,499999,575569,0.0973001946003892,11.830811921891058,1.1511403022806046,45-55,F,coxjonathan,jsmith@example.net,Kevin Terry,M,46
351,KTR,2025-06-25,2025-10-08,105,Wednesday,727613,EUR,35446,500003,46972,0.0708915746505521,1.3251706821644191,0.09394343633938196,25-40,A,coxjonathan,jsmith@example.net,Kevin Terry,M,46
352,GRZ,2024-08-31,2024-12-01,92,Saturday,113010,USD,56434,500003,51937,0.11286732279606322,0.9203139951093312,0.10387337675973944,25-30,F,qfoster,tricia63@example.net,Gina Scott,F,83
353,GRZ,2023-12-28,2024-05-09,133,Thursday,822763,EUR,18527,499998,733069,0.037054148216592864,39.5676040373509,1.4661438645754583,45-55,M,qfoster,tricia63@example.net,Gina Scott,F,83
354,KTR,2023-12-26,2024-07-30,217,Tuesday,90824,GBP,4103,499999,67462,0.008206016412032825,16.442115525225447,0.1349242698485397,20-25,F,qfoster,tricia63@example.net,Gina Scott,F,83
355,AKX,2024-05-04,2024-09-18,137,Saturday,166765,GBP,34112,499998,162997,0.06822427289709158,4.77828916510319,0.3259953039812159,20-30,M,qfoster,tricia63@example.net,Gina Scott,F,83
356,BYU,2025-02-01,2026-12-08,675,Saturday,74000,EUR,89719,500004,49727,0.17943656450748394,0.5542527223887916,0.099453204374365,35-60,A,armstrongwhitney,pbrooks@example.com,Michael Mendoza,M,36
357,GRZ,2025-02-17,2025-06-18,121,Monday,390207,EUR,30946,500000,278605,0.061892,9.002940606217281,0.55721,20-45,M,armstrongwhitney,pbrooks@example.com,Michael Mendoza,M,36
358,AKX,2023-09-16,2024-07-25,313,Saturday,929099,EUR,66714,500000,18510,0.133428,0.2774530083640615,0.03702,45-50,A,armstrongwhitney,pbrooks@example.com,Michael Mendoza,M,36
359,GRZ,2024-02-28,2024-09-05,190,Wednesday,116218,USD,30245,500002,64779,0.06048975804096784,2.141808563398909,0.12955748177007292,45-65,F,armstrongwhitney,pbrooks@example.com,Michael Mendoza,M,36
360,KTR,2024-12-22,2025-07-13,203,Sunday,732191,EUR,72147,500000,175698,0.144294,2.4352779741361386,0.351396,30-55,F,armstrongwhitney,pbrooks@example.com,Michael Mendoza,M,36
361,AKX,2024-11-10,2025-09-21,315,Sunday,251887,EUR,49890,499998,5175,0.09978039912159649,0.1037282020444979,0.010350041400165601,20-40,M,armstrongwhitney,pbrooks@example.com,Michael Mendoza,M,36
362,BYU,2024-05-15,2026-03-07,661,Wednesday,280800,GBP,55592,499994,85135,0.11118533422401068,1.5314253849474744,0.17027204326451917,25-40,F,armstrongwhitney,pbrooks@example.com,Michael Mendoza,M,36
363,KTR,2025-07-07,2027-04-05,637,Monday,740712,GBP,21458,500000,580908,0.042916,27.071861310466957,1.161816,20-30,A,jamescole,elizabeth32@example.com,Leah Hall,F,56
364,GRZ,2025-07-13,2027-01-02,538,Sunday,381734,EUR,31001,500002,79605,0.06200175199299203,2.567820392890552,0.15920936316254736,45-50,M,jamescole,elizabeth32@example.com,Leah Hall,F,56
365,AKX,2025-03-01,2026-02-18,354,Saturday,357818,GBP,45903,500001,318589,0.09180581638836723,6.9404831928196415,0.6371767256465487,40-65,M,jamescole,elizabeth32@example.com,Leah Hall,F,56
366,AKX,2024-03-17,2024-05-02,46,Sunday,323775,GBP,20659,500000,151692,0.041318,7.342659373638607,0.303384,45-60,A,eric72,parsonsdenise@example.net,Tiffany Mendez,F,66
367,KTR,2025-03-23,2025-07-04,103,Sunday,504656,USD,19915,499998,465814,0.039830159320637284,23.390107958825006,0.9316317265269061,30-55,A,eric72,parsonsdenise@example.net,Tiffany Mendez,F,66
368,KTR,2023-08-15,2025-05-14,638,Tuesday,121695,EUR,52541,500004,62777,0.10508115935072519,1.194819283987743,0.1255529955760354,35-60,A,eric72,parsonsdenise@example.net,Tiffany Mendez,F,66
369,AKX,2024-10-12,2026-05-06,571,Saturday,519760,USD,23612,499999,182447,0.0472240944481889,7.726876164662036,0.3648947297894596,30-50,M,krojas,rebeccabentley@example.net,Luis Hudson,M,82
370,KTR,2023-12-01,2024-10-24,328,Friday,832978,EUR,37820,499997,591055,0.07564045384272305,15.628106821787414,1.1821170927025562,20-25,M,krojas,rebeccabentley@example.net,Luis Hudson,M,82
371,KTR,2024-02-11,2025-03-17,400,Sunday,394021,EUR,7551,500000,61902,0.015102,8.197854588796186,0.123804,30-35,A,davisvalerie,frobinson@example.com,Dennis Vance,M,59
372,KTR,2024-05-20,2025-06-23,399,Monday,577303,USD,36377,499997,264538,0.07275443652661916,7.272122494983094,0.5290791744750468,40-50,A,davisvalerie,frobinson@example.com,Dennis Vance,M,59
373,KTR,2023-07-26,2024-10-23,455,Wednesday,238920,EUR,50134,500000,139946,0.100268,2.7914389436310687,0.279892,25-45,M,davisvalerie,frobinson@example.com,Dennis Vance,M,59
374,AKX,2025-05-27,2025-08-21,86,Tuesday,171969,USD,97220,499998,105078,0.19444077776311106,1.0808269903312075,0.2101568406273625,25-40,F,davisvalerie,frobinson@example.com,Dennis Vance,M,59
375,BYU,2024-10-13,2025-07-23,283,Sunday,108280,EUR,67756,500000,70571,0.135512,1.0415461361355451,0.141142,45-55,F,davisvalerie,frobinson@example.com,Dennis Vance,M,59
376,KTR,2024-03-31,2025-12-13,622,Sunday,342450,GBP,8795,500001,41500,0.01758996482007036,4.718590108015918,0.08299983400033199,20-45,F,davisvalerie,frobinson@example.com,Dennis Vance,M,59
377,BYU,2024-06-28,2025-07-31,398,Friday,395492,USD,29772,499997,290112,0.0595443572661436,9.744457879887142,0.5802274813648882,35-50,M,davisvalerie,frobinson@example.com,Dennis Vance,M,59
378,AKX,2024-04-12,2025-02-03,297,Friday,904276,USD,2535,499997,634838,0.005070030420182521,250.42919132149902,1.2696836181017086,30-40,M,nancyhayes,latoya62@example.net,Austin Cervantes,O,41
379,AKX,2024-05-17,2025-04-21,339,Friday,313275,EUR,21063,499999,152693,0.0421260842521685,7.249347196505721,0.30538661077322155,40-45,A,nancyhayes,latoya62@example.net,Austin Cervantes,O,41
380,KTR,2024-04-16,2025-06-05,415,Tuesday,299547,EUR,33808,500000,68153,0.067616,2.0158838144817794,0.136306,35-50,M,nancyhayes,latoya62@example.net,Austin Cervantes,O,41
381,GRZ,2024-05-15,2024-08-31,108,Wednesday,421266,EUR,85527,499997,295615,0.17105502633015798,3.45639388731044,0.5912335474012844,35-60,A,nancyhayes,latoya62@example.net,Austin Cervantes,O,41
382,AKX,2023-08-20,2024-01-09,142,Sunday,457082,GBP,39737,500000,361822,0.079474,9.105418124166395,0.723644,30-45,F,nancyhayes,latoya62@example.net,Austin Cervantes,O,41
383,BYU,2023-08-03,2024-02-08,189,Thursday,765802,USD,13478,500002,561706,0.026955892176431295,41.67576791808874,1.1234075063699744,40-50,M,harriskimberly,wangrobert@example.com,Susan Mullins,F,80
384,AKX,2025-02-24,2026-11-17,631,Monday,715881,GBP,34458,499999,316892,0.06891613783227567,9.19647106622555,0.6337852675705351,25-50,A,harriskimberly,wangrobert@example.com,Susan Mullins,F,80
385,KTR,2023-10-27,2025-06-08,590,Friday,312909,USD,45093,499999,94066,0.09018618037236074,2.08604439713481,0.18813237626475254,40-50,M,harriskimberly,wangrobert@example.com,Susan Mullins,F,80
386,BYU,2024-10-31,2025-04-29,180,Thursday,995677,EUR,25805,500000,815298,0.05161,31.594574694826584,1.630596,45-65,M,harriskimberly,wangrobert@example.com,Susan Mullins,F,80
387,GRZ,2024-01-26,2025-06-01,492,Friday,565442,USD,29673,499999,398076,0.05934611869223738,13.415428167020524,0.7961535923071846,40-55,M,dylanmanning,parkerstephanie@example.com,Michelle Richard,F,29
388,GRZ,2024-07-05,2024-09-18,75,Friday,933573,GBP,16072,500000,355841,0.032144,22.14043056246889,0.711682,45-50,F,dylanmanning,parkerstephanie@example.com,Michelle Richard,F,29
389,BYU,2025-01-30,2026-09-22,600,Thursday,924661,EUR,20500,500000,571351,0.041,27.87078048780488,1.142702,35-40,A,dylanmanning,parkerstephanie@example.com,Michelle Richard,F,29
390,BYU,2023-09-04,2024-07-25,325,Monday,126995,GBP,9162,500002,64087,0.018323926704293184,6.994870115695263,0.12817348730605077,35-50,A,dylanmanning,parkerstephanie@example.com,Michelle Richard,F,29
391,AKX,2024-03-23,2024-07-03,102,Saturday,271320,USD,19207,499999,21519,0.038414076828153655,1.1203727807570156,0.043038086076172155,40-60,M,dylanmanning,parkerstephanie@example.com,Michelle Richard,F,29
392,AKX,2023-12-17,2024-01-05,19,Sunday,855839,GBP,19352,499994,55357,0.038704464453573444,2.8605312112443158,0.110715328583943,35-50,A,dylanmanning,parkerstephanie@example.com,Michelle Richard,F,29
393,KTR,2023-10-29,2025-09-26,698,Sunday,290472,GBP,34679,500001,18258,0.06935786128427743,0.526485769485856,0.03651592696814606,40-65,A,dylanmanning,parkerstephanie@example.com,Michelle Richard,F,29
394,KTR,2024-05-25,2024-09-16,114,Saturday,222370,USD,29048,499999,6071,0.058096116192232386,0.20899889837510327,0.012142024284048569,30-45,F,megan43,steven05@example.com,Matthew Gray,M,82
395,AKX,2024-05-21,2025-10-01,498,Tuesday,923361,GBP,87126,500001,525348,0.174251651496697,6.029750017216445,1.0506938986122027,35-45,F,megan43,steven05@example.com,Matthew Gray,M,82
396,GRZ,2024-12-05,2025-09-10,279,Thursday,738028,EUR,12583,500000,299842,0.025166,23.829134546610508,0.599684,45-65,F,megan43,steven05@example.com,Matthew Gray,M,82
397,AKX,2023-08-05,2025-05-28,662,Saturday,281107,EUR,12630,500000,234178,0.02526,18.54140934283452,0.468356,40-65,M,megan43,steven05@example.com,Matthew Gray,M,82
398,AKX,2024-11-23,2025-12-12,384,Saturday,54212,GBP,90380,499999,1945,0.18076036152072303,0.021520247842443017,0.00389000778001556,30-40,F,megan43,steven05@example.com,Matthew Gray,M,82
399,KTR,2025-04-22,2026-07-06,440,Tuesday,640552,USD,37827,500002,65909,0.07565369738521045,1.7423797816374547,0.13181747273010908,45-70,A,megan43,steven05@example.com,Matthew Gray,M,82
400,GRZ,2023-09-22,2025-06-04,621,Friday,578672,USD,38047,500002,383755,0.0760936956252175,10.086340578757852,0.7675069299722801,40-60,A,megan43,steven05@example.com,Matthew Gray,M,82
401,AKX,2025-02-11,2026-06-23,497,Tuesday,229351,GBP,54589,500001,228949,0.10917778164443671,4.194050083350126,0.4578970842058316,40-65,A,megan43,steven05@example.com,Matthew Gray,M,82
402,GRZ,2024-08-11,2026-02-22,560,Sunday,592775,USD,72804,500001,162562,0.14560770878458243,2.232871820229658,0.3251233497533005,40-45,A,scook,iboone@example.org,Curtis Morris Jr.,M,45
403,GRZ,2025-04-30,2026-06-19,415,Wednesday,318260,GBP,17937,499998,49837,0.03587414349657399,2.778446785973128,0.09967439869759478,25-50,F,scook,iboone@example.org,Curtis Morris Jr.,M,45
404,KTR,2025-04-08,2026-01-21,288,Tuesday,401889,EUR,26803,500000,123859,0.053606,4.6210871917322685,0.247718,40-50,A,scook,iboone@example.org,Curtis Morris Jr.,M,45
405,BYU,2025-04-24,2025-11-13,203,Thursday,468829,GBP,51199,499999,266520,0.1023982047964096,5.205570421297291,0.5330410660821322,25-30,A,wmoon,xbates@example.net,Brenda Martinez,F,36
406,GRZ,2024-04-03,2024-10-18,198,Wednesday,614214,EUR,66984,499997,4731,0.1339688038128229,0.07062880687925474,0.009462056772340634,40-45,A,wmoon,xbates@example.net,Brenda Martinez,F,36
407,KTR,2024-11-15,2025-04-10,146,Friday,780915,USD,8851,499998,729519,0.017702070808283232,82.42221217941476,1.4590438361753446,35-60,F,wmoon,xbates@example.net,Brenda Martinez,F,36
408,AKX,2024-04-21,2024-08-23,124,Sunday,749313,USD,57881,500000,527426,0.115762,9.112247542371417,1.054852,20-45,M,wmoon,xbates@example.net,Brenda Martinez,F,36
409,KTR,2024-01-17,2024-10-16,273,Wednesday,167040,EUR,93230,500001,105250,0.18645962708074584,1.1289284565054167,0.21049957900084199,20-25,M,steven88,mariamarshall@example.org,Yvette Torres,F,23
410,AKX,2025-03-06,2026-10-24,597,Thursday,8522,USD,49067,500000,6689,0.098134,0.13632380214808323,0.013378,40-50,M,steven88,mariamarshall@example.org,Yvette Torres,F,23
411,KTR,2025-02-24,2027-02-06,712,Monday,124177,EUR,36473,499997,47382,0.07294643767862607,1.2990979628766486,0.09476456858741153,45-60,F,steven88,mariamarshall@example.org,Yvette Torres,F,23
412,GRZ,2023-08-18,2023-10-07,50,Friday,830995,EUR,27386,499998,530188,0.054772219088876355,19.359818885561968,1.060380241520966,35-45,F,steven88,mariamarshall@example.org,Yvette Torres,F,23
413,KTR,2024-01-23,2025-10-05,621,Tuesday,780557,EUR,22980,500000,212873,0.04596,9.263402959094865,0.425746,35-55,A,steven88,mariamarshall@example.org,Yvette Torres,F,23
414,BYU,2024-07-11,2025-09-19,435,Thursday,391837,USD,52161,500002,102640,0.10432158271366915,1.9677536857038784,0.20527917888328448,45-65,M,steven88,mariamarshall@example.org,Yvette Torres,F,23
415,GRZ,2024-10-18,2025-07-29,284,Friday,677184,USD,40982,499997,596883,0.08196449178695073,14.564516129032258,1.1937731626389758,45-50,F,steven88,mariamarshall@example.org,Yvette Torres,F,23
416,AKX,2024-08-03,2026-05-06,641,Saturday,370534,USD,36882,499998,306291,0.07376429505718023,8.304620139905644,0.6125844503378014,20-30,A,smithjustin,brittany58@example.org,Lisa Stone,F,59
417,KTR,2024-12-18,2025-02-12,56,Wednesday,617309,EUR,39934,500002,89642,0.07986768052927788,2.24475384384234,0.17928328286686854,40-65,M,smithjustin,brittany58@example.org,Lisa Stone,F,59
418,AKX,2023-10-09,2024-03-13,156,Monday,95155,USD,36982,499997,90198,0.07396444378666273,2.4389703098804825,0.1803970823824943,25-40,A,hamiltonmegan,tammymorris@example.com,Victoria Franklin,F,18
419,KTR,2025-02-09,2026-09-07,575,Sunday,444861,GBP,4282,500002,141490,0.008563965744137023,33.0429705744979,0.28297886808452766,30-50,F,hamiltonmegan,tammymorris@example.com,Victoria Franklin,F,18
420,BYU,2024-09-10,2025-09-01,356,Tuesday,730024,GBP,52885,500000,389064,0.10577,7.356793041505153,0.778128,35-55,F,hamiltonmegan,tammymorris@example.com,Victoria Franklin,F,18
421,KTR,2025-03-03,2025-06-08,97,Monday,983514,GBP,60973,500001,678784,0.12194575610848778,11.1325340724583,1.3575652848694302,30-45,F,hamiltonmegan,tammymorris@example.com,Victoria Franklin,F,18
422,GRZ,2024-12-05,2026-09-21,655,Thursday,513141,USD,59824,499998,68291,0.11964847859391438,1.1415318266916288,0.13658254633018532,25-30,M,hamiltonmegan,tammymorris@example.com,Victoria Franklin,F,18
423,GRZ,2024-02-24,2024-06-23,120,Saturday,738666,USD,20875,500006,58978,0.04174949900601193,2.825293413173653,0.11795458454498546,30-55,F,hamiltonmegan,tammymorris@example.com,Victoria Franklin,F,18
424,AKX,2024-01-29,2025-03-01,397,Monday,471758,GBP,46396,500001,312951,0.09279181441637117,6.745215104750409,0.6259007481985036,25-45,A,hamiltonmegan,tammymorris@example.com,Victoria Franklin,F,18
425,BYU,2025-01-21,2026-06-27,522,Tuesday,847834,EUR,27089,499997,617433,0.05417832506995042,22.79275720772269,1.2348734092404554,20-45,F,hamiltonmegan,tammymorris@example.com,Victoria Franklin,F,18
426,AKX,2024-07-12,2025-09-27,442,Friday,749887,GBP,35289,499995,348499,0.07057870578705787,9.875570291025532,0.6970049700497005,40-50,M,cross,thomasquinn@example.com,Derrick Fuller,M,39
427,AKX,2023-09-14,2025-05-06,600,Thursday,204739,GBP,22265,499999,123786,0.04453008906017812,5.559667639793398,0.2475724951449903,30-40,A,cross,thomasquinn@example.com,Derrick Fuller,M,39
428,GRZ,2024-08-24,2025-06-19,299,Saturday,786048,USD,8570,500003,635559,0.017139897160617035,74.16091015169195,1.27111037333776,45-70,M,cross,thomasquinn@example.com,Derrick Fuller,M,39
429,BYU,2024-08-06,2024-11-29,115,Tuesday,275130,USD,75314,500001,224533,0.15062769874460252,2.981291658921316,0.44906510186979626,20-35,M,cross,thomasquinn@example.com,Derrick Fuller,M,39
430,BYU,2024-08-21,2026-03-09,565,Wednesday,812342,GBP,28410,499997,203611,0.056820340922045534,7.166877859908483,0.4072244433466601,40-55,F,cross,thomasquinn@example.com,Derrick Fuller,M,39
431,GRZ,2024-11-02,2026-06-12,587,Saturday,299908,USD,56340,499997,251360,0.1126806760840565,4.461483848065318,0.502723016338098,40-45,F,dcooper,woodwhitney@example.com,Eric Hammond,M,89
432,GRZ,2024-01-29,2025-12-06,677,Monday,806834,USD,49830,500000,599430,0.09966,12.02950030102348,1.19886,30-50,F,dcooper,woodwhitney@example.com,Eric Hammond,M,89
433,GRZ,2025-06-06,2026-04-10,308,Friday,632939,GBP,23542,500001,348737,0.047083905832188334,14.81339733242715,0.6974726050547899,20-45,F,dcooper,woodwhitney@example.com,Eric Hammond,M,89
434,AKX,2024-11-20,2026-09-07,656,Wednesday,841895,EUR,10392,500001,161560,0.020783958432083135,15.54657428791378,0.32311935376129247,30-35,A,dcooper,woodwhitney@example.com,Eric Hammond,M,89
435,AKX,2024-01-12,2024-02-14,33,Friday,625889,GBP,16607,499998,440267,0.03321413285653143,26.510929126272053,0.8805375221500886,40-50,A,dcooper,woodwhitney@example.com,Eric Hammond,M,89
436,KTR,2025-01-26,2025-02-07,12,Sunday,85443,GBP,38127,500000,63930,0.076254,1.676764497600126,0.12786,35-45,M,morganmathis,ybeck@example.com,Patricia Jensen,F,47
437,AKX,2024-05-12,2024-07-18,67,Sunday,959263,USD,5562,499997,850924,0.011124066744400467,152.9888529306005,1.7018582111492668,45-65,A,morganmathis,ybeck@example.com,Patricia Jensen,F,47
438,BYU,2025-03-15,2026-08-17,520,Saturday,265535,EUR,5605,499998,222386,0.01121004484017936,39.67636039250669,0.4447737790951164,25-35,M,morganmathis,ybeck@example.com,Patricia Jensen,F,47
439,BYU,2024-01-03,2024-01-06,3,Wednesday,416930,USD,72177,500001,307268,0.1443537112925774,4.2571456281086775,0.6145347709304582,45-55,M,morganmathis,ybeck@example.com,Patricia Jensen,F,47
440,KTR,2025-05-24,2027-01-16,602,Saturday,751304,GBP,33138,499999,14933,0.06627613255226511,0.45063069587784416,0.029866059732119463,40-45,A,morganmathis,ybeck@example.com,Patricia Jensen,F,47
441,AKX,2025-06-16,2026-03-11,268,Monday,287045,USD,32030,500000,113749,0.06406,3.5513268810490164,0.227498,25-50,F,morganmathis,ybeck@example.com,Patricia Jensen,F,47
442,BYU,2024-11-14,2025-03-12,118,Thursday,453820,GBP,90010,499998,310446,0.18002072008288034,3.4490167759137873,0.6208944835779343,45-50,F,morganmathis,ybeck@example.com,Patricia Jensen,F,47
443,AKX,2024-03-15,2024-07-30,137,Friday,492505,GBP,64088,500001,382273,0.1281757436485127,5.964814005742104,0.7645444709110581,45-70,F,morganmathis,ybeck@example.com,Patricia Jensen,F,47
444,AKX,2024-08-06,2025-07-04,332,Tuesday,609408,GBP,67008,500001,515968,0.13401573196853606,7.700095510983763,1.0319339361321278,30-50,M,hollywells,bthomas@example.org,Craig Mitchell,M,69
445,KTR,2025-05-10,2025-06-03,24,Saturday,519795,GBP,8050,499996,118466,0.016100128801030407,14.716273291925466,0.23693389547116378,20-30,A,hollywells,bthomas@example.org,Craig Mitchell,M,69
446,GRZ,2024-10-01,2024-12-27,87,Tuesday,204663,GBP,18968,499996,53615,0.037936303490427925,2.826602699283003,0.10723085784686277,45-55,M,hollywells,bthomas@example.org,Craig Mitchell,M,69
447,KTR,2025-03-13,2026-09-17,553,Thursday,545720,GBP,74888,499996,434691,0.14977719821758573,5.8045481252002995,0.8693889551116409,20-25,M,ashleymcdonald,pattersondavid@example.org,Amy Ruiz,F,27
448,GRZ,2024-04-26,2025-03-19,327,Friday,145362,USD,24324,500001,32644,0.04864790270419459,1.3420490050978457,0.06528786942426115,35-45,F,ashleymcdonald,pattersondavid@example.org,Amy Ruiz,F,27
449,GRZ,2025-01-06,2026-03-31,449,Monday,983816,USD,58144,500003,164722,0.11628730227618635,2.833000825536599,0.32944202334785994,40-60,A,ashleymcdonald,pattersondavid@example.org,Amy Ruiz,F,27
450,BYU,2025-05-13,2026-09-12,487,Tuesday,453037,USD,31607,500001,229369,0.06321387357225286,7.256905115955326,0.45873708252583495,25-40,F,dfrank,nancy00@example.net,John Myers,M,85
451,BYU,2023-11-26,2025-11-10,715,Sunday,16536,EUR,58365,500001,406,0.11672976654046692,0.0069562237642422685,0.000811998376003248,45-55,F,dfrank,nancy00@example.net,John Myers,M,85
452,GRZ,2024-06-08,2024-11-10,155,Saturday,342311,USD,29334,499997,215200,0.058668352010112064,7.336196904615804,0.4304025824154945,25-35,F,dfrank,nancy00@example.net,John Myers,M,85
